time;msg_out;bytes_out
1575979574.104625;582;4190400
1575979575.141150;570;4104000
1575979576.147433;496;3571200
1575979577.220411;396;2851200
1575979578.222281;649;4672800
1575979579.222274;541;3895200
1575979580.228335;571;4111200
1575979581.232282;600;4320000
1575979582.234529;519;3736800
1575979583.237685;600;4320000
1575979584.238221;575;4140000
1575979585.240221;571;4111200
1575979586.244246;551;3967200
1575979587.252327;531;3823200
1575979588.307320;272;1958400
1575979589.307556;453;3261600
1575979590.308384;352;2534400
1575979591.315455;338;2433600
1575979592.316395;306;2203200
1575979593.318326;295;2124000
1575979594.322476;292;2102400
1575979595.323389;324;2332800
1575979596.329986;362;2606400
1575979597.383535;276;1987200
1575979598.476799;216;1555200
1575979599.482038;351;2527200
1575979600.495821;413;2973600
1575979601.505790;482;3470400
1575979602.505795;404;2908800
1575979603.555905;328;2361600
1575979604.558299;335;2412000
1575979605.561405;505;3636000
1575979606.572363;521;3751200
1575979607.575346;518;3729600
1575979608.577301;497;3578400
1575979609.601345;339;2440800
1575979610.603537;467;3362400
1575979611.605514;462;3326400
1575979612.605729;447;3218400
1575979613.613947;519;3736800
1575979614.624818;586;4219200
1575979615.644057;530;3816000
1575979616.643953;548;3945600
1575979617.644593;545;3924000
1575979618.646527;521;3751200
1575979619.646552;561;4039200
1575979620.653992;448;3225600
1575979621.656499;514;3700800
1575979622.656933;536;3859200
1575979623.670824;551;3967200
1575979624.682725;538;3873600
1575979625.684498;532;3830400
1575979626.686615;521;3751200
1575979627.688835;492;3542400
1575979628.691751;487;3506400
1575979629.693749;492;3542400
1575979630.694689;476;3427200
1575979631.695856;352;2534400
1575979632.707023;483;3477600
1575979633.708755;551;3967200
1575979634.712889;510;3672000
1575979635.722299;553;3981600
1575979636.727916;498;3585600
1575979637.729816;469;3376800
1575979638.736946;498;3585600
1575979639.743513;415;2988000
1575979640.743981;456;3283200
1575979641.743833;324;2332800
1575979642.757869;435;3132000
1575979643.767895;467;3362400
1575979644.796818;527;3794400
1575979645.806967;532;3830400
1575979646.811920;485;3492000
1575979647.811980;506;3643200
1575979648.814116;462;3326400
1575979649.816174;462;3326400
1575979650.823203;459;3304800
1575979651.842086;504;3628800
1575979652.881334;110;792000
1575979653.881976;596;4291200
1575979654.882299;276;1987200
1575979655.909359;335;2412000
1575979656.917112;455;3276000
1575979657.930162;340;2448000
1575979659.028759;271;1951200
1575979660.039525;469;3376800
1575979661.042242;383;2757600
1575979662.055431;363;2613600
1575979663.129443;311;2239200
1575979664.130155;504;3628800
1575979665.144538;454;3268800
1575979666.147087;399;2872800
1575979667.150205;412;2966400
1575979668.156971;72;518400
1575979669.187459;499;3592800
1575979670.189361;240;1728000
1575979671.248447;68;489600
1575979672.250635;0;0
1575979673.251346;86;619200
1575979674.266393;644;4636800
1575979675.270330;405;2916000
1575979676.273238;409;2944800
1575979677.276419;443;3189600
1575979678.293492;524;3772800
1575979679.296298;538;3873600
1575979680.304266;486;3499200
1575979681.304428;522;3758400
1575979682.312465;490;3528000
1575979683.317544;518;3729600
1575979684.322690;339;2440800
1575979685.377035;479;3448800
1575979686.377456;546;3931200
1575979687.394086;551;3967200
1575979688.394609;508;3657600
1575979689.399621;547;3938400
1575979690.402720;538;3873600
1575979691.412771;542;3902400
1575979692.422457;533;3837600
1575979693.432441;534;3844800
1575979694.434814;477;3434400
1575979695.436931;533;3837600
1575979696.437606;500;3600000
1575979697.438540;509;3664800
1575979698.466558;504;3628800
1575979699.473725;449;3232800
1575979700.473696;498;3585600
1575979701.474738;552;3974400
1575979702.474705;546;3931200
1575979703.474754;520;3744000
1575979704.475030;545;3924000
1575979705.491989;497;3578400
1575979706.492656;505;3636000
1575979707.492696;545;3924000
1575979708.493756;386;2779200
1575979709.504097;272;1958400
1575979710.504704;506;3643200
1575979711.506792;460;3312000
1575979712.508017;341;2455200
1575979713.544891;336;2419200
1575979714.552875;557;4010400
1575979715.561929;552;3974400
1575979716.563202;538;3873600
1575979717.563267;443;3189600
1575979718.573918;493;3549600
1575979719.576297;498;3585600
1575979720.580976;474;3412800
1575979721.653580;396;2851200
1575979722.659129;417;3002400
1575979723.659995;551;3967200
1575979724.660351;546;3931200
1575979725.668061;473;3405600
1575979726.668469;440;3168000
1575979727.715203;390;2808000
1575979728.715222;197;1418400
1575979729.734483;474;3412800
1575979730.735192;473;3405600
1575979731.735678;427;3074400
1575979732.742999;490;3528000
1575979733.747672;501;3607200
1575979734.753097;468;3369600
1575979735.758220;506;3643200
1575979736.765454;447;3218400
1575979737.783193;505;3636000
1575979738.785228;427;3074400
1575979739.833980;217;1562400
1575979740.845949;498;3585600
1575979741.848298;452;3254400
1575979742.860038;431;3103200
1575979743.862345;412;2966400
1575979744.868305;466;3355200
1575979745.875340;443;3189600
1575979746.880409;385;2772000
1575979747.882501;385;2772000
1575979748.909139;183;1317600
1575979749.910228;444;3196800
1575979750.974529;291;2095200
1575979751.983538;553;3981600
1575979752.996951;514;3700800
1575979754.000479;446;3211200
1575979755.001089;461;3319200
1575979756.007483;489;3520800
1575979757.011681;516;3715200
1575979758.018483;395;2844000
1575979759.025939;527;3794400
1575979760.033452;420;3024000
1575979761.035059;526;3787200
1575979762.040712;446;3211200
1575979763.044600;522;3758400
1575979764.054614;535;3852000
1575979765.067672;445;3204000
1575979766.068501;464;3340800
1575979767.079822;437;3146400
1575979768.093508;439;3160800
1575979769.094031;424;3052800
1575979770.102992;384;2764800
1575979771.195049;87;626400
1575979772.201854;450;3240000
1575979773.202836;202;1454400
1575979774.251522;30;216000
1575979775.253698;0;0
1575979776.312442;2;14400
1575979777.399334;3;21600
1575979778.437090;3;21600
1575979779.445698;514;3700800
1575979780.453763;129;928800
1575979781.457281;154;1108800
1575979782.461839;482;3470400
1575979783.463064;412;2966400
1575979784.472874;480;3456000
1575979785.486899;468;3369600
1575979786.487105;520;3744000
1575979787.495187;479;3448800
1575979788.495121;491;3535200
1575979789.498928;423;3045600
1575979790.502915;508;3657600
1575979791.575632;477;3434400
1575979792.585222;322;2318400
1575979793.591396;495;3564000
1575979794.591420;471;3391200
1575979795.606303;487;3506400
1575979796.606077;513;3693600
1575979797.610398;467;3362400
1575979798.614013;474;3412800
1575979799.619059;546;3931200
1575979800.625165;551;3967200
1575979801.625523;471;3391200
1575979802.629076;401;2887200
1575979803.636276;473;3405600
1575979804.639159;509;3664800
1575979805.649004;559;4024800
1575979806.659791;543;3909600
1575979807.665312;521;3751200
1575979808.667516;512;3686400
1575979809.679211;475;3420000
1575979810.680375;512;3686400
1575979811.682289;501;3607200
1575979812.688224;350;2520000
1575979813.688326;468;3369600
1575979814.690317;483;3477600
1575979815.695379;398;2865600
1575979816.699441;359;2584800
1575979817.701002;446;3211200
1575979818.709906;531;3823200
1575979819.713376;557;4010400
1575979820.717876;517;3722400
1575979821.720614;498;3585600
1575979822.729923;535;3852000
1575979823.731703;509;3664800
1575979824.739917;514;3700800
1575979825.744478;509;3664800
1575979826.747447;418;3009600
1575979827.759888;379;2728800
1575979828.763747;349;2512800
1575979829.774939;379;2728800
1575979830.776019;460;3312000
1575979831.775841;455;3276000
1575979832.777033;470;3384000
1575979833.777017;445;3204000
1575979834.778907;490;3528000
1575979835.783658;504;3628800
1575979836.792654;530;3816000
1575979837.801692;497;3578400
1575979838.818104;510;3672000
1575979839.818118;519;3736800
1575979840.823265;420;3024000
1575979841.840836;537;3866400
1575979842.856019;565;4068000
1575979843.857769;523;3765600
1575979844.865696;456;3283200
1575979845.921123;516;3715200
1575979846.921745;509;3664800
1575979847.929640;209;1504800
1575979848.939206;763;5493600
1575979849.945689;618;4449600
1575979850.950085;479;3448800
1575979851.950867;356;2563200
1575979853.029948;146;1051200
1575979854.035964;800;5760000
1575979855.049777;445;3204000
1575979856.062619;461;3319200
1575979857.071259;421;3031200
1575979858.087982;419;3016800
1575979859.094813;394;2836800
1575979860.095848;419;3016800
1575979861.096861;428;3081600
1575979862.105088;304;2188800
1575979863.124840;444;3196800
1575979864.126099;475;3420000
1575979865.139107;437;3146400
1575979866.146189;429;3088800
1575979867.180105;434;3124800
1575979868.188205;540;3888000
1575979869.189972;559;4024800
1575979870.197143;498;3585600
1575979871.203315;617;4442400
1575979872.250417;532;3830400
1575979873.256408;602;4334400
1575979874.264310;624;4492800
1575979875.268394;599;4312800
1575979876.269162;475;3420000
1575979877.277239;627;4514400
1575979878.311092;403;2901600
1575979879.311446;659;4744800
1575979880.311347;488;3513600
1575979881.314387;530;3816000
1575979882.320346;445;3204000
1575979883.323387;535;3852000
1575979884.326254;579;4168800
1575979885.326379;593;4269600
1575979886.330196;522;3758400
1575979887.331414;539;3880800
1575979888.331497;561;4039200
1575979889.336588;610;4392000
1575979890.339493;577;4154400
1575979891.343554;488;3513600
1575979892.344347;537;3866400
1575979893.347863;481;3463200
1575979894.367406;472;3398400
1575979895.368310;482;3470400
1575979896.380624;473;3405600
1575979897.385446;418;3009600
1575979898.387758;540;3888000
1575979899.387495;574;4132800
1575979900.406477;542;3902400
1575979901.415415;504;3628800
1575979902.416519;525;3780000
1575979903.420886;531;3823200
1575979904.427596;535;3852000
1575979905.482781;448;3225600
1575979906.485428;625;4500000
1575979907.499826;480;3456000
1575979908.500580;504;3628800
1575979909.501725;536;3859200
1575979910.509575;538;3873600
1575979911.509695;548;3945600
1575979912.510657;555;3996000
1575979913.522700;532;3830400
1575979914.536764;594;4276800
1575979915.540193;562;4046400
1575979916.613740;310;2232000
1575979917.618637;680;4896000
1575979918.627373;483;3477600
1575979919.655717;444;3196800
1575979920.663645;442;3182400
1575979921.685751;333;2397600
1575979922.687740;530;3816000
1575979923.697787;505;3636000
1575979924.709327;205;1476000
1575979925.716843;538;3873600
1575979926.721834;460;3312000
1575979927.736876;463;3333600
1575979928.788007;413;2973600
1575979929.804927;258;1857600
1575979930.806885;542;3902400
1575979931.816990;578;4161600
1575979932.820927;537;3866400
1575979933.821000;431;3103200
1575979934.822883;469;3376800
1575979935.824960;446;3211200
1575979936.825013;406;2923200
1575979937.828529;174;1252800
1575979938.855571;155;1116000
1575979939.855952;435;3132000
1575979940.858042;350;2520000
1575979941.867028;342;2462400
1575979942.887963;267;1922400
1575979943.902193;252;1814400
1575979944.911845;368;2649600
1575979945.915078;408;2937600
1575979946.915106;353;2541600
1575979947.917060;310;2232000
1575979948.918272;356;2563200
1575979949.932064;442;3182400
1575979951.031439;314;2260800
1575979952.075496;262;1886400
1575979953.142556;299;2152800
1575979954.222291;276;1987200
1575979955.296344;315;2268000
1575979956.298048;491;3535200
1575979957.304081;336;2419200
1575979958.304989;304;2188800
1575979959.308097;322;2318400
1575979960.330106;58;417600
1575979961.342536;177;1274400
1575979962.343154;393;2829600
1575979963.361412;238;1713600
1575979964.447336;151;1087200
1575979965.451996;132;950400
1575979966.492071;202;1454400
1575979967.581263;207;1490400
1575979968.641462;8;57600
1575979969.683257;196;1411200
1575979970.706108;267;1922400
1575979971.709128;248;1785600
1575979972.711375;210;1512000
1575979973.713287;266;1915200
1575979974.721177;299;2152800
1575979975.811757;243;1749600
1575979976.907643;187;1346400
1575979977.913518;227;1634400
1575979979.000323;108;777600
1575979980.013303;118;849600
1575979981.019330;407;2930400
1575979982.022323;180;1296000
1575979983.024450;215;1548000
1575979984.025506;186;1339200
1575979985.025525;175;1260000
1575979986.071041;5;36000
1575979987.075938;211;1519200
1575979988.077850;320;2304000
1575979989.081048;436;3139200
1575979990.089107;427;3074400
1575979991.103963;448;3225600
1575979992.125644;446;3211200
1575979993.134609;483;3477600
1575979994.137136;457;3290400
1575979995.139860;493;3549600
1575979996.140162;503;3621600
1575979997.140153;624;4492800
1575979998.142043;551;3967200
1575979999.142159;604;4348800
1575980000.143146;507;3650400
1575980001.151154;650;4680000
1575980002.151420;648;4665600
1575980003.154807;635;4572000
1575980004.164247;638;4593600
1575980005.171383;649;4672800
1575980006.178818;602;4334400
1575980007.178438;591;4255200
1575980008.186281;504;3628800
1575980009.186327;651;4687200
1575980010.191351;528;3801600
1575980011.191329;576;4147200
1575980012.200399;603;4341600
1575980013.201124;673;4845600
1575980014.241370;720;5184000
1575980015.258394;663;4773600
1575980016.260314;682;4910400
1575980017.290355;623;4485600
1575980018.302436;520;3744000
1575980019.306123;604;4348800
1575980020.306355;666;4795200
1575980021.312546;674;4852800
1575980022.312462;650;4680000
1575980023.316429;591;4255200
1575980024.322427;475;3420000
1575980025.332218;689;4960800
1575980026.334473;483;3477600
1575980027.344435;552;3974400
1575980028.346152;551;3967200
1575980029.347490;625;4500000
1575980030.349505;693;4989600
1575980031.357657;627;4514400
1575980032.358560;619;4456800
1575980033.367697;676;4867200
1575980034.367788;738;5313600
1575980035.381209;646;4651200
1575980036.387458;579;4168800
1575980037.387716;641;4615200
1575980038.392987;655;4716000
1575980039.395647;606;4363200
1575980040.405875;561;4039200
1575980041.411774;588;4233600
1575980042.416816;556;4003200
1575980043.500393;529;3808800
1575980044.506811;564;4060800
1575980045.517748;531;3823200
1575980046.519848;589;4240800
1575980047.521929;634;4564800
1575980048.521935;678;4881600
1575980049.522129;624;4492800
1575980050.527937;772;5558400
1575980051.530671;772;5558400
1575980052.560912;766;5515200
1575980053.570899;785;5652000
1575980054.573093;740;5328000
1575980055.604065;768;5529600
1575980056.607925;854;6148800
1575980057.616122;779;5608800
1575980058.629081;726;5227200
1575980059.633903;801;5767200
1575980060.647092;805;5796000
1575980061.677070;877;6314400
1575980062.677111;857;6170400
